Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Views (future),Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"386778047961",Genuine Tiger Eye Bead Gemstone Drop/Dangle Gold Tone Fashion Pair Of Earrings,,Genuine Tiger Eye Bead Gemstone Drop/Dangle Gold T,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","0","","Feb-15-24 00:33:19 PST","Jul-15-24 00:33:19 PDT","Earrings","50647","","","Pre-owned","","","","","","US","","",""
"386778065497",Silver Tone Metallic Striking Bald Eagle Pendant Silver Tone Cord Chain Necklace,,Silver Tone Metallic Striking Bald Eagle Pendant S,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-15-24 00:41:29 PST","Jul-15-24 00:41:29 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386778095396",Chunky Silver Tone Barbwire Chain Fashion Necklace With Silver Tone Hoop 10”inch,,Chunky Silver Tone Barbwire Chain Fashion Necklace,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","3","","Feb-15-24 00:46:50 PST","Jul-15-24 00:46:50 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386778107339",NRA National Rifle Association 1871 Red And Black Push Button Pin ,,NRA National Rifle Association 1871 Red And Black,"1","FIXED_PRICE","USD",14.95,,,14.95,"0","","0","","Feb-15-24 00:52:47 PST","Jul-15-24 00:52:47 PDT","Clubs, Memberships","149384","","","Used","","","","","","US","","",""
"386778120457","WWII US NAVY ""Bastian"" 50th Commemorative PIN Pin Back HAT PIN Antique RARE MINT",,"WWII US NAVY ""Bastian"" 50th Commemorative PIN Pin","2","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-15-24 00:58:36 PST","Jul-15-24 00:58:36 PDT","Marine Corps","66531","","","Used","","","","","","US","","",""
"386778123851","NRA ""We the People"" Vintage Bronze Lapel Tie Pin 1st Amendment Constitution USA",,"NRA ""We the People"" Vintage Bronze Lapel Tie Pin 1","1","FIXED_PRICE","USD",12.95,,,12.95,"0","","0","","Feb-15-24 01:01:36 PST","Jul-15-24 01:01:36 PDT","Other US Politics Collectibles","259256","","","Used","","","","","","US","","",""
"386778140626",Gold Tone MS Engraved Square Push Button Pin For Hats I-2012k G.F,,Gold Tone MS Engraved Square Push Button Pin For H,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-15-24 01:07:17 PST","Jul-15-24 01:07:17 PDT","Other Collectible Pinbacks","2036","","","Used","","","","","","US","","",""
"386778143817",American Flag Metallic Tone Steel Keychain With Key Ring ,,American Flag Metallic Tone Steel Keychain With Ke,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-15-24 01:09:55 PST","Jul-15-24 01:09:55 PDT","Modern (1970-Now)","3628","","","Used","","","","","","US","","",""
"386778160441","Pepsi 400 Nascar Meijer Michigan Push Button Pin August 19, 2001",,Pepsi 400 Nascar Meijer Michigan Push Button Pin A,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","1","","Feb-15-24 01:17:04 PST","Jul-15-24 01:17:04 PDT","Racing-NASCAR","46156","","","Used","","","","","","US","","",""
"386778419401","Accutime Watch Corp Yellow Pikachu Pokemon 9"" Digital Children’s Watch",,"Accutime Watch Corp Yellow Pikachu Pokemon 9"" Digi","1","FIXED_PRICE","USD",9.95,,,9.95,"0","","2","","Feb-15-24 03:02:20 PST","Jul-15-24 03:02:20 PDT","Wristwatches","31387","","","Pre-owned","","","","","","US","Does not apply","",""
"386778449635",Multicolor Dinosaur Band + Analog Unisex Kids Quartz Movement Watch - UNTESTED,,Multicolor Dinosaur Band + Analog Unisex Kids Quar,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","0","","Feb-15-24 03:11:07 PST","Jul-15-24 03:11:07 PDT","Wristwatches","31387","","","Pre-owned","","","","","","US","","",""
"386778459583",Vintage 1995 Congo The Movie Unisex Kids Digital Wristwatch UNTESTED,,Vintage 1995 Congo The Movie Unisex Kids Digital W,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-15-24 03:15:43 PST","Jul-15-24 03:15:43 PDT","Wristwatches","31387","","","Pre-owned","","","","","","US","","",""
"386778470211",VTech - PJ Masks Super Catboy Learning Watch Unisex Kids Toy Tested Works Great,,VTech - PJ Masks Super Catboy Learning Watch Unise,"1","FIXED_PRICE","USD",9.69,,,9.69,"0","","","","Feb-15-24 03:18:40 PST","Jul-15-24 03:18:40 PDT","Action Figures","261068","","","Used","","","","","","US","","",""
"386778476116",ACCUTIME- WATCH- SUPERMAN- DC- DIGITAL- AGE 6+ Unisex Kids UNTESTED,,ACCUTIME- WATCH- SUPERMAN- DC- DIGITAL- AGE 6+ Uni,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","","","Feb-15-24 03:21:33 PST","Jul-15-24 03:21:33 PDT","Watches & Clocks","168112","","","","","","","","","US","","",""
